flash_id,time,lma_base,arq_ka,print_date,dist_1,dist_itp,area,duration,init_alt,init_lat,init_lon,volume,spectrum_width,turbulence,dVRdr,dVRde,mean,weighted_mean,weighted_std,std,vel_dealias
31344,224838,./lightning/LYLOUT_150706_224000_0600.dat.flash.h5,./radar/Ka1150706224838.RAW581W.nc,06 July 2015,6215.49651791576,10.6917995013937,38.348705,1.0427009,13381.15,33.660522,-101.89133,158.4208,0.45351562,0.10078522,0.0028215249,0.008911971,"[6.215485687263593, 0.10078521817922592]","[6.215485687263593, 0.10078521817922592]","[nan, nan]","[0.0, 0.0]",7.2118106
31838,224838,./lightning/LYLOUT_150706_224000_0600.dat.flash.h5,./radar/Ka1150706224838.RAW581W.nc,06 July 2015,947.406044227331,4.53183436645304,2.093048,0.1705143,9828.2,33.617466,-101.897575,1.9214396,0.90703124,0.19967936,-0.014107625,0.0014633228,"[0.9422761930655362, 0.15344198666174302]","[0.922455902898244, 0.1575173777793215]","[0.0354901032634582, 0.02129574977306631]","[0.14626351090978582, 0.07216829218258003]",7.5165358
31923,224838,./lightning/LYLOUT_150706_224000_0600.dat.flash.h5,./radar/Ka1150706224838.RAW581W.nc,06 July 2015,8538.49517655713,50.764317107054,65.678635,1.1381993,14798.5,33.689114,-101.89295,198.93875,0.50390625,0.11034167,0,-0.013137932,"[8.538508128962464, 0.11034166812896729]","[8.538508128962464, 0.11034166812896729]","[nan, nan]","[0.0, 0.0]",7.1102357
32335,224838,./lightning/LYLOUT_150706_224000_0600.dat.flash.h5,./radar/Ka1150706224838.RAW581W.nc,06 July 2015,1192.61090753188,1.1279294575088,1.3048664,0.20202994,10857.41,33.60808,-101.893135,1.7725325,0.050390624,0.010747312,-277.84875,0.0013478511,0,0,0,0,2.53937
2068,225054,./lightning/LYLOUT_150706_225000_0600.dat.flash.h5,./radar/Ka1150706225054.RAW582N.nc,06 July 2015,578.495804898694,44.0577050269749,5.6902337,0.2331187,9668.11,33.628666,-101.905525,10.824824,0.7054688,0.15667982,0.014107625,-0.0047699786,"[0.5776917580871206, 0.15667982399463654]","[0.5783350737445775, 0.15667982399463654]","[0.0003856905117399822, 0.0]","[0.000798117028635803, 0.0]",6.196063
2432,225054,./lightning/LYLOUT_150706_225000_0600.dat.flash.h5,./radar/Ka1150706225054.RAW582N.nc,06 July 2015,1200.43273101693,1.8072461393549,101.089264,0.8709596,5694.99,33.626575,-101.90948,267.9921,1.7636719,0.40887097,-0.011286086,0.025355497,"[2.188969929362721, 0.1670327141880989]","[1.9789360781180838, 0.2261042651996641]","[0.2964941660010758, 0.0668967027000666]","[0.5756186398567419, 0.12575388630673798]",6.094488
2968,225054,./lightning/LYLOUT_150706_225000_0600.dat.flash.h5,./radar/Ka1150706225054.RAW582N.nc,06 July 2015,2060.8974009098,6.69318279243817,3.3192015,0.32637942,10203.19,33.619812,-101.91248,6.5106063,0.85664064,0.18552344,-0.011286099,0.006962663,"[2.0608798167838844, 0.18552343547344208]","[2.0608798167838844, 0.18552343547344208]","[nan, nan]","[0.0, 0.0]",5.180315
4181,225054,./lightning/LYLOUT_150706_225000_0600.dat.flash.h5,./radar/Ka1150706225054.RAW582N.nc,06 July 2015,1698.33968866894,48.2308526285215,69.2966,0.68262017,6505.39,33.616795,-101.905235,253.33693,0.3527344,0.07917713,-0.0028215116,-0.004046376,"[1.8064444492259182, 0.10679798386991024]","[1.8126684179124655, 0.10760703621324473]","[0.10530743934680312, 0.018949061348615456]","[0.2004722447546232, 0.03598385317514821]",7.0086613
912,225054,./lightning/LYLOUT_150706_225000_0600.dat.flash.h5,./radar/Ka1150706225054.RAW582N.nc,06 July 2015,638.878558163071,83.8841152814257,2.0008976,0.16283952,8698.11,33.603714,-101.87286,0.43636513,0.45351562,0.09538982,-0.011286086,0.0013294008,0,0,0,0,6.703937
10258,225314,./lightning/LYLOUT_150706_225000_0600.dat.flash.h5,./radar/Ka1150706225314.RAW583F.nc,06 July 2015,3480.14585566111,1.48438159272155,11.276647,0.2910951,10114.63,33.626675,-101.89283,30.08697,0.050390624,0.010806559,-0.014107598,102.14299,"[2.056643419260222, 0.18899019045585935]","[2.085274978753562, 0.2029673962693042]","[0.05355149587368607, 0.033874681814319206]","[0.17534370122465878, 0.09700677734215422]",-9.751181
10924,225314,./lightning/LYLOUT_150706_225000_0600.dat.flash.h5,./radar/Ka1150706225314.RAW583F.nc,06 July 2015,8973.31003474855,90.1671438701251,56.59896,1.11546,13137.23,33.558937,-101.90389,193.49295,1.2597656,0.26325834,0,0.029150628,0,0,0,0,4.3677163
11546,225314,./lightning/LYLOUT_150706_225000_0600.dat.flash.h5,./radar/Ka1150706225314.RAW583F.nc,06 July 2015,1770.96974818271,3.57033067048906,33.150448,0.36771473,9402.9,33.6192,-101.88443,129.81523,0.050390624,0.010797589,0,-0.016602458,"[1.0994088601496748, 0.08937073818274907]","[1.3499963884162365, 0.10551964756779059]","[0.20419978375667408, 0.021742560654888773]","[0.5400103623099134, 0.05522381313993316]",1.3204725
12262,225314,./lightning/LYLOUT_150706_225000_0600.dat.flash.h5,./radar/Ka1150706225314.RAW583F.nc,06 July 2015,5521.56251988265,22.0508078336898,14.207995,0.36550346,9523.05,33.65629,-101.86434,81.37431,1.0078125,0.22107366,0.0028215232,0,"[5.492018789758382, 0.16529635774592558]","[5.511404379887539, 0.1923340297674005]","[0.09886261003725105, 0.05076422192062185]","[0.23256453213027875, 0.11048650637607348]",-0.6094488
7610,225314,./lightning/LYLOUT_150706_225000_0600.dat.flash.h5,./radar/Ka1150706225314.RAW583F.nc,06 July 2015,2225.93735288418,55.2825246642724,4.3980246,0.47397485,9725.71,33.624763,-101.91822,7.958331,1.3101562,0.29151395,0,0.008652968,"[2.374877913351196, 0.20142776635475457]","[2.28535867428453, 0.25712054422822134]","[0.060187262227609284, 0.04034933044945926]","[0.1573245715915266, 0.11116033367895521]",3.5551178
7650,225314,./lightning/LYLOUT_150706_225000_0600.dat.flash.h5,./radar/Ka1150706225314.RAW583F.nc,06 July 2015,7857.72161317931,21.3899017187359,90.797714,0.87465155,6765.94,33.574112,-101.95253,297.53986,0.90703124,0.20762746,-0.0028215249,-0.0016935717,"[7.857721872127675, 0.20762746036052704]","[7.857721872127675, 0.20762746036052704]","[nan, nan]","[0.0, 0.0]",6.8055115
8790,225314,./lightning/LYLOUT_150706_225000_0600.dat.flash.h5,./radar/Ka1150706225314.RAW583F.nc,06 July 2015,3892.18767028175,16.2745123543755,99.600945,0.56004524,6620.21,33.591946,-101.88159,444.96158,0.30234376,0.06453554,-0.0028215514,0.0012314816,"[3.7019938182822636, 0.26863714555899304]","[4.7173926636584556, 0.5440978853750466]","[0.4480435126146313, 0.12178807138778798]","[0.943260624273804, 0.25640034302848114]",8.938583
9895,225314,./lightning/LYLOUT_150706_225000_0600.dat.flash.h5,./radar/Ka1150706225314.RAW583F.nc,06 July 2015,2524.85035352973,4.28786215715081,9.830178,0.26101062,9072.53,33.59485,-101.885315,13.903833,0.90703124,0.19229935,0.019750662,-0.011767705,0,0,0,0,4.8755903
19376,225715,./lightning/LYLOUT_150706_225000_0600.dat.flash.h5,./radar/Ka2150706225715.RAWXXAB.nc,06 July 2015,2941.96569404862,6.20356740598709,36.663853,0.6656569,11249.93,33.7471,-101.920044,182.5557,2.1164062,0.4709523,-0.047401574,-0.018113224,"[3.5106207723226355, 0.401889581233263]","[3.4210085883703156, 0.40625767815394476]","[0.13344627609073892, 0.03317703573082871]","[0.34271672651150464, 0.09509252093897716]",0.6094488
20225,225715,./lightning/LYLOUT_150706_225000_0600.dat.flash.h5,./radar/Ka2150706225715.RAWXXAB.nc,06 July 2015,77.9136739071007,77.9128184871915,0,0.046037585,11344.77,33.708504,-101.89681,0,2.8722656,0.62585616,-0.060944874,0.025069688,"[0.07791366090513191, 0.6258561611175537]","[0.07791366090513191, 0.6258561611175537]","[nan, nan]","[0.0, 0.0]",-8.938583
20669,225715,./lightning/LYLOUT_150706_225000_0600.dat.flash.h5,./radar/Ka2150706225715.RAWXXAB.nc,06 July 2015,505.94959470443,11.8144072668492,12.222821,0.4252715,12259.74,33.70535,-101.895096,17.02128,1.209375,0.25931266,-0.033858266,0.029136492,"[0.2592582229431421, 0.40555430271408777]","[0.25247680464691324, 0.3751890671485245]","[0.052834688437834496, 0.02565388025535872]","[0.17275885612518746, 0.10637626691928213]",-6.094488
21345,225715,./lightning/LYLOUT_150706_225000_0600.dat.flash.h5,./radar/Ka2150706225715.RAWXXAB.nc,06 July 2015,3391.5006714482,3.56449020219588,29.273863,0.63243496,12168.03,33.702885,-101.87887,105.94031,1.6125,0.3428418,-0.006771644,-0.01986833,0,0,0,0,4.672441
22458,225715,./lightning/LYLOUT_150706_225000_0600.dat.flash.h5,./radar/Ka2150706225715.RAWXXAB.nc,06 July 2015,1257.26286696644,19.0715127785452,23.654879,0.51849866,11700.53,33.739758,-101.947624,57.40621,1.3605468,0.3179994,0.01354332,-0.0039335066,"[2.1534344735709188, 0.3642836871246497]","[2.0396591217214097, 0.3612242207510767]","[0.265938771863971, 0.04268894967570585]","[0.9858939244581713, 0.13754227078088296]",4.2661414
23252,225715,./lightning/LYLOUT_150706_225000_0600.dat.flash.h5,./radar/Ka2150706225715.RAWXXAB.nc,06 July 2015,2114.60632779338,1.70155490969591,17.912235,0.5804775,11454.57,33.725544,-101.89693,69.26639,1.3101562,0.28316462,0,0.011007323,"[2.427911811481332, 0.32107822300167754]","[2.339124802232549, 0.28997604617749523]","[0.07919334121196772, 0.03278919419641467]","[0.4099160419912475, 0.12333052961213267]",4.4692917
25225,225715,./lightning/LYLOUT_150706_225000_0600.dat.flash.h5,./radar/Ka2150706225715.RAWXXAB.nc,06 July 2015,2924.84649011737,39.9858261824375,12.236502,0.40585607,12697.43,33.678135,-101.87513,22.040787,1.6628907,0.34614658,0.02031496,0.012341226,0,0,0,0,0
